============================================================
  Generated by:           Encounter(R) RTL Compiler RC14.28 - v14.20-s067_1
  Generated on:           Mar 22 2018  02:22:27 pm
  Module:                 pipe_mac_top
  Technology library:     gscl45nm 
  Operating conditions:   typical (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

                                     Leakage    Dynamic     Total   
           Instance           Cells Power(nW)  Power(nW)  Power(nW) 
    stoch2bin_6                  18   756.826   6217.600   6974.426 
    stoch2bin_7                  18   756.826   6480.735   7237.561 
    stoch2bin_8                  18   756.826   6323.460   7080.286 
    stoch2bin_9                  18   756.826   6380.924   7137.750 
  dut_sr_a                       68  2408.453  22147.999  24556.451 
  dut_sr_b                       68  2408.453  22166.072  24574.525 
  dut_prg4b_a                    34   979.273   8421.723   9400.996 
    ctr4                         18   756.826   5994.685   6751.511 
    comp4                        16   222.447   2427.038   2649.485 
      comp1                       2    49.307    435.324    484.631 
      comp2                       2    49.307    447.476    496.782 
      comp3                       2    49.307    488.484    537.790 
      comp0                       2    17.348    149.782    167.130 
  dut_prg4b_b                    34   979.273   8263.285   9242.559 
    ctr4                         18   756.826   5994.685   6751.511 
    comp4                        16   222.447   2268.600   2491.047 
      comp1                       2    49.307    451.961    501.268 
      comp2                       2    49.307    514.021    563.328 
      comp3                       2    49.307    398.978    448.284 
      comp0                       2    17.348    125.524    142.872 
  dut_scale_add                  32   324.671   9757.658  10082.329 
  dut_pipe_mul                   16   249.694   1709.508   1959.202 

