/M0/S X,/M0/S Y
0,2.221173694982905e-11
-0.024,4.097409981165095e-11
-0.048,7.644478748170078e-11
-0.07200000000000001,1.434317581839079e-10
-0.096,2.697562898739713e-10
-0.12,5.075204775263831e-10
-0.144,9.538788886332592e-10
-0.168,1.788969198192667e-09
-0.192,3.34433217656775e-09
-0.216,6.224438759331565e-09
-0.24,1.151855299220149e-08
-0.264,2.116232641668649e-08
-0.288,3.854161350314771e-08
-0.312,6.948146122431235e-08
-0.336,1.238421539907186e-07
-0.36,2.180538384673753e-07
-0.3840000000000001,3.78984394427889e-07
-0.4080000000000001,6.492392825995407e-07
-0.4320000000000001,1.092748425175668e-06
-0.4560000000000001,1.7971294271783e-06
-0.4800000000000001,2.86758739768521e-06
-0.5040000000000001,4.409587408361742e-06
-0.5280000000000001,6.504996475277379e-06
-0.5520000000000002,9.192789733596599e-06
-0.5760000000000002,1.246358619343841e-05
-0.6000000000000002,1.626859269285154e-05
-0.6240000000000002,2.053618068765761e-05
-0.6480000000000002,2.51882223768026e-05
-0.6720000000000003,3.01516385022764e-05
-0.6960000000000003,3.536436026270961e-05
-0.7200000000000003,4.077699825229491e-05
-0.7440000000000003,4.635198546675813e-05
-0.7680000000000003,5.206161150999499e-05
-0.7920000000000004,5.788582547457723e-05
-0.8160000000000004,6.381024505718181e-05
-0.8400000000000004,6.982453145870234e-05
-0.8640000000000004,7.592114312111616e-05
-0.8880000000000005,8.209441838144057e-05
-0.9120000000000005,8.83399193878655e-05
-0.9360000000000005,9.465397290030881e-05
-0.9600000000000005,0.00010103335458586
-0.9840000000000005,0.000107475075663048
-1.008,0.0001139762415762337
-1.032,0.0001205339610061435
-1.056,0.000127145289993309
-1.080000000000001,0.0001338072006194298
-1.104000000000001,0.0001405165669656794
-1.128000000000001,0.0001472701633125266
-1.152000000000001,0.0001540646710566504
-1.176000000000001,0.0001608966918195395
-1.2,0.0001677627648719288
